Text Analysis of .\examples\railwaychildren.txt using TextAnalyze.Analysis+AnalysisType
Completed in 00:00:03.1840024
the 3366 False
and 2473 True
to 1553 True
a 1183 False
it 1161 False
said 1145 False
of 1058 False
you 1039 True
i 1019 True
was 840 False
s 818 False
t 689 False
he 684 False
that 681 False
in 648 False
she 627 False
peter 543 False
had 518 False
they 513 False
bobbie 490 False
mother 439 True
on 431 True
but 420 False
her 410 False
as 407 False
not 386 False
all 385 False
for 380 False
we 362 False
with 361 False
his 340 False
be 331 True
at 322 False
when 314 False
so 296 False
phyllis 293 True
what 276 False
were 269 True
up 262 False
there 259 False
then 248 False
him 245 False
if 240 False
is 236 False
them 232 False
like 230 False
very 222 False
don 219 False
do 215 False
out 215 False
have 200 False
know 185 False
down 180 False
little 174 False
ll 172 False
did 171 False
now 171 False
me 168 False
by 167 True
one 167 True
children 162 False
no 161 False
oh 161 False
this 159 False
about 155 False
from 143 False
would 141 False
your 139 True
see 138 False
my 137 True
just 135 False
think 135 False
could 135 False
went 135 False
been 133 False
go 133 False
got 130 False
their 127 True
perks 124 False
more 124 False
say 123 False
re 123 False
come 121 False
are 121 False
old 120 False
well 119 False
who 118 False
or 118 False
can 116 False
station 114 False
things 112 False
time 112 False
how 109 True
never 108 False
came 108 False
get 106 False
good 105 False
three 104 False
let 103 True
quite 102 False
only 101 True
into 99 False
much 98 False
an 97 True
train 96 False
father 95 False
right 94 False
d 94 False
m 93 False
ve 92 False
tell 91 False
us 91 False
thought 89 True
day 89 True
gentleman 88 False
yes 88 False
any 87 False
red 85 False
some 85 False
than 84 False
back 82 False
here 82 False
over 80 False
again 80 False
made 79 True
other 79 True
asked 79 True
will 78 False
too 78 False
because 77 False
going 77 False
people 76 False
where 76 False
man 76 False
engine 75 False
anything 75 False
away 74 False
always 73 True
before 73 True
put 72 False
long 71 True
look 70 False
roberta 67 True
something 66 False
two 65 False
course 63 False
which 62 False
master 62 False
dear 61 True
home 61 True
door 61 True
room 61 True
tea 61 True
off 61 True
didn 61 True
told 61 True
doctor 60 False
first 59 True
take 59 True
even 58 False
won 58 False
round 58 False
along 57 False
line 56 False
felt 55 False
want 55 False
make 55 False
why 55 False
looked 55 False
railway 54 False
way 54 False
really 53 True
cried 52 False
tunnel 52 False
ever 51 False
after 51 False
though 51 False
knew 51 False
house 50 False
its 50 False
seemed 50 False
mrs 50 False
might 49 False
others 49 False
must 49 False
hand 49 False
hands 49 False
rather 48 False
most 48 False
once 48 False
suddenly 47 True
poor 46 False
being 46 False
give 46 False
should 46 False
nice 46 False
jim 46 False
great 45 False
own 45 False
done 45 False
boy 45 False
face 45 False
our 45 False
wouldn 45 False
enough 45 False
coal 44 False
thing 44 False
saw 44 False
kind 43 True
took 43 True
wasn 43 True
voice 42 False
love 42 False
mean 42 False
till 41 True
eyes 41 True
last 41 True
still 41 True
nothing 40 False
found 40 False
such 39 False
end 38 False
birthday 38 False
keep 38 False
ask 38 False
shall 38 False
phil 38 False
herself 38 False
heard 38 False
water 37 True
white 37 True
morning 37 True
each 37 True
same 37 True
says 37 True
used 36 False
better 36 False
night 36 False
through 36 False
garden 36 False
stop 36 False
russian 36 False
green 35 False
perhaps 35 False
head 34 False
isn 34 False
name 34 False
hurt 33 False
fire 33 False
next 32 False
sure 32 False
am 32 False
stood 32 False
canal 32 False
read 31 True
everything 31 True
has 31 True
words 31 True
girls 31 True
everyone 31 True
dark 31 True
stopped 31 True
under 31 True
turned 30 False
sorry 30 False
mind 30 False
run 30 False
writing 30 False
paper 29 True
couldn 29 True
ought 29 True
life 29 True
soon 29 True
without 29 True
find 29 True
bed 28 False
wish 28 False
big 28 False
gone 28 False
book 28 False
mr 28 False
broken 27 False
else 27 False
arm 27 False
place 27 False
trees 27 False
table 27 False
seen 27 False
bridge 27 False
porter 27 False
every 26 False
indeed 26 False
left 26 False
daddy 26 False
woman 26 False
feel 26 False
side 26 False
open 26 False
many 26 False
flowers 26 False
chimneys 26 False
gave 26 False
help 25 False
may 25 False
began 25 False
hope 25 False
tried 25 False
lay 25 False
black 25 False
half 25 False
top 25 False
almost 24 False
wanted 24 False
against 24 False
everybody 24 False
silly 24 False
ran 24 False
across 24 False
candle 24 False
slowly 24 False
letter 24 False
leg 24 False
called 23 True
meant 23 True
new 23 True
these 23 True
live 23 True
among 23 True
coming 23 True
another 23 True
those 23 True
bit 23 True
anyone 23 True
between 23 True
caught 23 True
talk 23 True
believe 23 True
wrong 23 True
doing 23 True
thank 23 True
suppose 22 False
hot 22 False
french 22 False
days 22 False
sat 22 False
seem 22 False
looking 22 False
try 22 False
happened 22 False
glad 22 False
set 22 False
road 22 False
hadn 22 False
baby 22 False
ain 22 False
held 21 False
aren 21 False
feeling 21 False
light 21 False
viney 21 False
kitchen 21 False
wife 21 False
behind 20 False
front 20 False
cold 20 False
clothes 20 False
heart 20 False
grown 20 False
story 20 False
hear 20 False
please 20 False
mouth 20 False
miss 20 False
happen 20 False
far 20 False
speak 20 False
bill 20 False
except 19 True
ready 19 True
while 19 True
exactly 19 True
milk 19 True
idea 19 True
does 19 True
doesn 19 True
opened 19 True
foot 19 True
hill 19 True
spoke 19 True
sound 19 True
yet 19 True
wall 18 False
also 18 False
friends 18 False
given 18 False
driver 18 False
making 18 False
dead 18 False
shut 18 False
tired 18 False
whispered 18 False
clean 18 False
cut 18 False
coals 18 False
waved 18 False
roses 18 False
brought 17 True
waiting 17 True
pretty 17 True
full 17 True
stay 17 True
sorts 17 True
remember 17 True
hair 17 True
bank 17 True
nobody 17 True
chair 17 True
soft 17 True
sent 17 True
fell 17 True
work 17 True
wonder 17 True
box 17 True
hard 17 True
comes 17 True
awfully 17 True
alone 17 True
jolly 17 True
sometimes 17 True
minute 17 True
show 17 True
secret 16 False
write 16 False
different 16 False
boys 16 False
real 16 False
late 16 False
expect 16 False
telling 16 False
proper 16 False
sit 16 False
crying 16 False
whether 16 False
passed 16 False
beautiful 16 False
taken 16 False
presently 16 False
hold 16 False
trains 16 False
near 16 False
haven 16 False
word 16 False
towards 16 False
added 16 False
afterwards 16 False
someone 16 False
feet 16 False
blue 16 False
buns 16 False
whatever 16 False
letters 16 False
arms 16 False
flannel 16 False
e 15 False
chapter 15 False
grew 15 False
cry 15 False
bread 15 False
ill 15 False
breath 15 False
best 15 False
matter 15 False
call 15 False
aunt 15 False
inside 15 False
case 15 False
moment 15 False
few 15 False
heap 15 False
young 15 False
silence 15 False
firmly 15 False
liked 15 False
village 15 False
chap 15 False
quiet 15 False
rose 15 False
barge 15 False
wild 15 False
stand 15 False
mine 14 False
begin 14 False
getting 14 False
cross 14 False
himself 14 False
pie 14 False
saying 14 False
earth 14 False
often 14 False
awful 14 False
horrid 14 False
o 14 False
bring 14 False
unhappy 14 False
window 14 False
walk 14 False
remembered 14 False
gate 14 False
odd 14 False
person 14 False
dragon 14 False
sort 14 False
use 14 False
lady 14 False
forrest 14 False
nurse 14 False
sleep 14 False
having 14 False
flags 14 False
ere 14 False
pleased 14 False
pink 14 False
wrote 14 False
cutting 14 False
shouted 14 False
fireman 13 True
jersey 13 True
besides 13 True
frightened 13 True
large 13 True
ruth 13 True
quickly 13 True
showed 13 True
bad 13 True
p 13 True
breakfast 13 True
men 13 True
trouble 13 True
understand 13 True
usual 13 True
emma 13 True
ears 13 True
ones 13 True
brave 13 True
platform 13 True
nor 13 True
yard 13 True
lighted 13 True
corner 13 True
thinking 13 True
itself 13 True
six 13 True
climbed 13 True
post 13 True
close 13 True
signal 13 True
later 13 True
wet 13 True
waited 13 True
shook 13 True
girl 13 True
hardly 13 True
brown 13 True
crowd 13 True
play 12 False
lessons 12 False
school 12 False
happy 12 False
true 12 False
afraid 12 False
wood 12 False
forget 12 False
evening 12 False
pull 12 False
gently 12 False
talking 12 False
questions 12 False
office 12 False
busy 12 False
nose 12 False
money 12 False
interesting 12 False
bright 12 False
running 12 False
themselves 12 False
indignantly 12 False
watch 12 False
wave 12 False
pocket 12 False
newspaper 12 False
since 12 False
both 12 False
known 12 False
horrible 12 False
prison 12 False
god 12 False
wash 12 False
terrible 11 True
hound 11 True
means 11 True
deal 11 True
wished 11 True
sitting 11 True
dog 11 True
presents 11 True
lot 11 True
care 11 True
four 11 True
clever 11 True
carried 11 True
afternoon 11 True
engines 11 True
longer 11 True
anybody 11 True
already 11 True
worse 11 True
answered 11 True
hat 11 True
holding 11 True
names 11 True
straight 11 True
world 11 True
followed 11 True
legs 11 True
taking 11 True
moved 11 True
darkness 11 True
cart 11 True
butter 11 True
together 11 True
wonderful 11 True
morrow 11 True
rocks 11 True
wires 11 True
twice 11 True
years 11 True
part 11 True
darling 11 True
send 11 True
em 11 True
friend 11 True
angry 11 True
fish 11 True
covered 11 True
stranger 11 True
handkerchief 11 True
dr 11 True
basket 11 True
charity 11 True
prisoners 10 False
lived 10 False
windows 10 False
dull 10 False
reason 10 False
eat 10 False
whole 10 False
picked 10 False
warm 10 False
accident 10 False
nearly 10 False
yourself 10 False
boots 10 False
steps 10 False
helped 10 False
woke 10 False
clock 10 False
laid 10 False
smiled 10 False
furniture 10 False
boxes 10 False
mound 10 False
supper 10 False
less 10 False
dining 10 False
heavy 10 False
mustn 10 False
somehow 10 False
field 10 False
started 10 False
bushes 10 False
path 10 False
led 10 False
pulled 10 False
easy 10 False
noticed 10 False
air 10 False
reached 10 False
several 10 False
talked 10 False
forward 10 False
surprise 10 False
wait 10 False
waving 10 False
fast 10 False
trying 10 False
strange 10 False
shake 10 False
bargee 10 False
jerseyed 10 False
swallows 10 False
stories 9 False
game 9 False
dreadful 9 False
however 9 False
country 9 False
wooden 9 False
dinner 9 False
doubtfully 9 False
gentlemen 9 False
forgotten 9 False
louder 9 False
lips 9 False
promised 9 False
darlings 9 False
mammy 9 False
sister 9 False
leave 9 False
packed 9 False
damp 9 False
expected 9 False
stone 9 False
floor 9 False
walked 9 False
cellar 9 False
quietly 9 False
washing 9 False
short 9 False
grey 9 False
grass 9 False
past 9 False
early 9 False
hour 9 False
answer 9 False
fence 9 False
seems 9 False
heads 9 False
notice 9 False
written 9 False
above 9 False
sake 9 False
sisters 9 False
doubt 9 False
learned 9 False
safe 9 False
hours 9 False
minutes 9 False
tied 9 False
single 9 False
understood 9 False
sheet 9 False
leaned 9 False
second 9 False
listen 9 False
leaning 9 False
move 9 False
breathlessly 9 False
petticoats 9 False
ear 9 False
cabin 9 False
rake 9 False
signalman 9 False
beginning 8 False
grandfather 8 False
brick 8 False
bath 8 False
pay 8 False
explained 8 False
piece 8 False
loved 8 False
fingers 8 False
saved 8 False
lost 8 False
beasts 8 False
sad 8 False
able 8 False
bell 8 False
news 8 False
pale 8 False
business 8 False
stairs 8 False
replied 8 False
asleep 8 False
walking 8 False
worry 8 False
gold 8 False
books 8 False
kept 8 False
lamps 8 False
hastily 8 False
leather 8 False
stones 8 False
roof 8 False
kettle 8 False
fresh 8 False
smooth 8 False
flat 8 False
bottom 8 False
magic 8 False
small 8 False
steep 8 False
rush 8 False
outside 8 False
shouldn 8 False
loose 8 False
mark 8 False
noble 8 False
secrets 8 False
certain 8 False
meet 8 False
allowed 8 False
fat 8 False
tear 8 False
honour 8 False
myself 8 False
pleasure 8 False
hullo 8 False
turn 8 False
sugar 8 False
steam 8 False
parcel 8 False
brother 8 False
wind 8 False
passengers 8 False
yards 8 False
smoke 8 False
bless 8 False
hay 8 False
uncle 8 False
settle 8 False
whose 7 True
captives 7 True
cook 7 True
glass 7 True
paint 7 True
ladies 7 True
funny 7 True
least 7 True
change 7 True
ten 7 True
hate 7 True
horse 7 True
strong 7 True
carefully 7 True
thin 7 True
kissed 7 True
goody 7 True
shoulders 7 True
quarrel 7 True
upstairs 7 True
knows 7 True
bottle 7 True
week 7 True
packing 7 True
useful 7 True
moving 7 True
laughed 7 True
seeing 7 True
tail 7 True
lights 7 True
undone 7 True
pots 7 True
lives 7 True
ago 7 True
shan 7 True
delightful 7 True
need 7 True
purpose 7 True
washed 7 True
sides 7 True
sun 7 True
beef 7 True
helping 7 True
child 7 True
metals 7 True
toy 7 True
catch 7 True
interested 7 True
nonsense 7 True
particular 7 True
jam 7 True
fine 7 True
pete 7 True
perambulator 7 True
boot 7 True
carry 7 True
beastly 7 True
fact 7 True
goes 7 True
class 7 True
carriage 7 True
eh 7 True
bootlace 7 True
neck 7 True
times 7 True
sweet 7 True
married 7 True
directly 7 True
sweets 7 True
noise 7 True
trembled 7 True
pointed 7 True
loud 7 True
advertisement 7 True
upon 7 True
papers 7 True
ave 7 True
petticoat 7 True
killed 7 True
coward 7 True
duty 7 True
weren 7 True
labels 7 True
paperchase 7 True
forehead 7 True
coloured 6 False
poetry 6 False
birthdays 6 False
bits 6 False
pigeon 6 False
eagerly 6 False
amuse 6 False
burst 6 False
mend 6 False
low 6 False
dirty 6 False
pass 6 False
looks 6 False
shining 6 False
extra 6 False
dressed 6 False
kiss 6 False
catching 6 False
london 6 False
servants 6 False
cup 6 False
quarrelling 6 False
promise 6 False
sighed 6 False
calling 6 False
nasty 6 False
precious 6 False
repeated 6 False
wondered 6 False
crockery 6 False
brass 6 False
dragged 6 False
guard 6 False
knocked 6 False
cake 6 False
tin 6 False
plate 6 False
high 6 False
shovel 6 False
iron 6 False
candles 6 False
stick 6 False
cheerful 6 False
stuck 6 False
finger 6 False
burned 6 False
sight 6 False
church 6 False
turf 6 False
below 6 False
ripping 6 False
jumped 6 False
edge 6 False
joy 6 False
none 6 False
disappeared 6 False
speaking 6 False
afford 6 False
politely 6 False
mines 6 False
needn 6 False
handle 6 False
remarked 6 False
bag 6 False
fault 6 False
parted 6 False
spot 6 False
handkerchiefs 6 False
especially 6 False
envelope 6 False
met 6 False
hurry 6 False
proud 6 False
year 6 False
pounds 6 False
ud 6 False
silver 6 False
torn 6 False
pause 6 False
fond 6 False
thoughts 6 False
natural 6 False
brandy 6 False
decided 6 False
ah 6 False
smile 6 False
standing 6 False
thick 6 False
sunshine 6 False
fuss 6 False
sniffed 6 False
kindness 6 False
splendid 6 False
agreed 6 False
lilac 6 False
pleasant 6 False
towing 6 False
ropes 6 False
tone 6 False
threw 6 False
rock 6 False
drew 6 False
crown 6 False
present 6 False
frock 6 False
chance 6 False
surprised 6 False
earnestly 6 False
sharp 6 False
giving 6 False
missie 6 False
flung 6 False
anxious 6 False
hush 6 False
tree 6 False
lying 6 False
faint 6 False
dry 6 False
marry 6 False
quick 6 False
ground 6 False
fit 6 False
stocking 6 False
wounds 6 False
nests 6 False
hare 6 False
bones 6 False
railways 5 True
villa 5 True
calls 5 True
fires 5 True
lovely 5 True
heaps 5 True
tender 5 True
feelings 5 True
worst 5 True
miserable 5 True
fixed 5 True
pen 5 True
knife 5 True
tale 5 True
fetched 5 True
cheerfully 5 True
break 5 True
pulling 5 True
holiday 5 True
difficult 5 True
sounded 5 True
instead 5 True
wants 5 True
step 5 True
cab 5 True
collar 5 True
whom 5 True
egg 5 True
happening 5 True
cheer 5 True
seven 5 True
glances 5 True
perfectly 5 True
places 5 True
offended 5 True
beautifully 5 True
crept 5 True
lines 5 True
chairs 5 True
enjoyed 5 True
pointing 5 True
wake 5 True
rough 5 True
wheels 5 True
struck 5 True
middle 5 True
walls 5 True
soap 5 True
five 5 True
teeth 5 True
burn 5 True
ends 5 True
tray 5 True
cheered 5 True
plain 5 True
cups 5 True
gets 5 True
purple 5 True
tall 5 True
valley 5 True
passing 5 True
pushed 5 True
note 5 True
question 5 True
yellow 5 True
telegraph 5 True
rushed 5 True
tearing 5 True
manner 5 True
resist 5 True
unless 5 True
deep 5 True
hills 5 True
dream 5 True
worn 5 True
weak 5 True
playing 5 True
pain 5 True
usually 5 True
chariot 5 True
silent 5 True
listened 5 True
trembling 5 True
yours 5 True
fetch 5 True
waves 5 True
sensible 5 True
whenever 5 True
carriages 5 True
sacred 5 True
numbers 5 True
dare 5 True
w 5 True
tight 5 True
mutton 5 True
stiff 5 True
start 5 True
reading 5 True
party 5 True
hers 5 True
song 5 True
maidbridge 5 True
ourselves 5 True
until 5 True
beside 5 True
club 5 True
aqueduct 5 True
growing 5 True
pictures 5 True
turning 5 True
tidy 5 True
singing 5 True
begun 5 True
buttercup 5 True
working 5 True
nearest 5 True
climb 5 True
tears 5 True
touch 5 True
sky 5 True
beat 5 True
ticket 5 True
newspapers 5 True
faces 5 True
cousin 5 True
bye 5 True
general 5 True
consented 5 True
language 5 True
latin 5 True
sounds 5 True
closed 5 True
kindly 5 True
horribly 5 True
tightly 5 True
russia 5 True
lame 5 True
soldiers 5 True
possibly 5 True
strawberries 5 True
im 5 True
sprang 5 True
hated 5 True
cherries 5 True
spring 5 True
dropped 5 True
leaves 5 True
twenty 5 True
rushing 5 True
faced 5 True
fallen 5 True
holes 5 True
likely 5 True
presentation 5 True
rub 5 True
wear 5 True
speech 5 True
watches 5 True
upset 5 True
hearts 5 True
pound 5 True
born 5 True
thirty 5 True
setting 5 True
broke 5 True
hundred 5 True
ransome 5 True
pram 5 True
careful 5 True
laughing 5 True
bert 5 True
worth 5 True
bedroom 5 True
blood 5 True
pax 5 True
slate 5 True
hounds 5 True
false 5 True
parr 5 True
wigsby 5 True
burglar 4 False
ordinary 4 False
mothers 4 False
engineer 4 False
aloud 4 False
needed 4 False
james 4 False
excellent 4 False
model 4 False
either 4 False
soul 4 False
mad 4 False
gloomy 4 False
excuse 4 False
hopes 4 False
mended 4 False
rested 4 False
hum 4 False
tones 4 False
built 4 False
maid 4 False
library 4 False
bedtime 4 False
family 4 False
shape 4 False
whisper 4 False
pet 4 False
worried 4 False
putting 4 False
de 4 False
harder 4 False
exchanged 4 False
guilty 4 False
carpet 4 False
folded 4 False
weeks 4 False
machine 4 False
company 4 False
comfortable 4 False
ways 4 False
stayed 4 False
seaside 4 False
van 4 False
fancy 4 False
foreign 4 False
dears 4 False
shivering 4 False
watched 4 False
become 4 False
crunch 4 False
fields 4 False
lantern 4 False
er 4 False
match 4 False
rats 4 False
fun 4 False
